,offensiveness_score,offensiveness_score_norm
2066,0.0,0.0
2045,0.0,0.0
61,0.0,0.0
1259,0.0,0.0
949,0.0,0.0
256,0.0,0.0
3001,2.867239611827805,0.11946831715949187
765,0.0,0.0
1157,0.0,0.0
268,0.0,0.0
644,5.0,0.2777777777777778
2518,0.0,0.0
46,0.0,0.0
2297,2.2592192740194736,0.08367478792664718
181,2.2492338746767837,0.12495743748204353
779,0.0,0.0
285,3.8164830424588603,0.2120268356921589
1633,2.2975890925698264,0.12764383847610147
2900,4.894016385110617,0.19576065540442467
2855,0.0,0.0
1770,0.0,0.0
1200,6.484239937543157,0.34127578618648197
1181,0.0,0.0
1062,2.618180706852476,0.20139851591172891
1922,0.0,0.0
880,0.0,0.0
1342,0.0,0.0
1137,3.345930725940379,0.1394137802475158
625,0.0,0.0
2537,0.0,0.0
836,0.0,0.0
406,0.0,0.0
2027,3.2930387904207827,0.193708164142399
2131,1.335745776216604,0.08904971841444027
2259,4.7727867400620045,0.5965983425077506
921,0.0,0.0
933,5.318510614727009,0.26592553073635045
1176,3.5811165103738616,0.13773525039899467
591,0.0,0.0
1995,0.0,0.0
1778,5.0,0.25
1803,0.0,0.0
985,2.4139189417052354,0.1609279294470157
2564,0.0,0.0
221,5.459514860266323,0.2729757430133161
1903,3.2930387904207827,0.13720994960086594
927,0.0,0.0
2065,0.0,0.0
1508,3.2930387904207827,0.18294659946782127
2217,5.297177553603875,0.27879881861073025
2162,3.2930387904207827,0.4704341129172547
2000,0.0,0.0
2137,0.0,0.0
1801,5.143706801819235,0.2236394261660537
536,0.0,0.0
562,5.0,0.29411764705882354
532,0.0,0.0
2569,5.89390547690518,0.294695273845259
2314,0.0,0.0
658,4.731971447288265,0.315464763152551
36,0.0,0.0
916,4.731971447288265,0.23659857236441323
2421,4.731971447288265,0.22533197368039357
1750,0.0,0.0
2436,0.0,0.0
1601,0.0,0.0
617,3.240448015015605,0.16202240075078025
2582,0.0,0.0
2284,0.0,0.0
144,0.0,0.0
704,0.0,0.0
2884,0.0,0.0
2098,0.0,0.0
2654,1.7574867272548147,0.07322861363561728
2712,0.0,0.0
627,0.0,0.0
2396,0.0,0.0
2929,3.265526741676701,0.18141815231537228
592,0.0,0.0
409,0.0,0.0
922,0.0,0.0
1175,0.0,0.0
2971,0.0,0.0
2668,5.0,0.23809523809523808
570,0.0,0.0
513,2.4932821755665318,0.1385156764203629
576,0.0,0.0
770,0.0,0.0
2495,0.0,0.0
405,2.5235819850970946,0.11470827204986794
1396,0.0,0.0
825,0.0,0.0
768,0.0,0.0
2622,0.0,0.0
3003,0.0,0.0
2082,2.3061934850692607,0.09224773940277042
2003,0.0,0.0
1332,0.0,0.0
993,2.3061934850692607,0.1441370928168288
913,3.468049178616482,0.24771779847260586
265,0.0,0.0
1919,0.0,0.0
1943,0.0,0.0
454,0.0,0.0
2744,0.0,0.0
242,0.0,0.0
1967,0.0,0.0
1811,0.0,0.0
829,0.0,0.0
1805,0.0,0.0
1148,0.0,0.0
1227,0.0,0.0
1127,0.0,0.0
586,0.0,0.0
1122,0.0,0.0
2849,0.0,0.0
1434,0.0,0.0
2812,0.0,0.0
301,0.0,0.0
2902,3.265526741676701,0.21770178277844673
3044,0.0,0.0
1146,0.0,0.0
1238,0.0,0.0
2103,0.0,0.0
159,0.0,0.0
93,1.9951144946557045,0.10500602603451076
218,0.0,0.0
1573,3.0589508226895457,0.27808643842632236
1448,5.0,0.16666666666666666
1898,0.0,0.0
1902,0.0,0.0
923,0.0,0.0
2032,6.135835119998687,0.30679175599993436
2406,3.2784456328411764,0.1260940628015837
720,1.4827024875252373,0.08237236041806874
